cited_person_age,citation_time,charge_description,street,month,day_of_week,week_of_year,hour_of_day,place_id,age_breaks
20.0,2035,Speed Greater Than R&P or Posted,N 68th St,3,2,12,20,N 68th St - 3xxx,"(17.999, 24.0]"
25.0,1958,Speed Greater Than R&P or Posted,E McDowell Rd,3,2,12,19,E McDowell Rd - 6xxx,"(24.0, 29.0]"
20.0,1423,Speed Greater Than R&P or Posted,E McDowell Rd,3,2,12,14,E McDowell Rd - 6xxx,"(17.999, 24.0]"
42.0,1410,Expired/No Arizona Registration,N 68th St,3,2,12,14,N 68th St - 3xxx,"(37.0, 50.0]"
24.0,918,Speed Greater Than R&P or Posted,N 68th St,3,2,12,9,N 68th St - 3xxx,"(17.999, 24.0]"
32.0,1346,Suspended/Revoked D.L.,N Scottsdale Rd / E Thomas Rd,3,1,13,13,N Scottsdale Rd / E Thomas Rd -  xxx,"(29.0, 37.0]"
32.0,904,Suspended/Revoked D.L.,E Oak St,3,1,13,9,E Oak St - 7xxx,"(29.0, 37.0]"
38.0,1500,Failure to Control Speed to Avoid A Collision,N Hayden Rd,3,1,13,15,N Hayden Rd - 8xxx,"(37.0, 50.0]"
23.0,1539,Speed Greater Than R&P or Posted,N 64th St,3,1,13,15,N 64th St - 2xxx,"(17.999, 24.0]"
35.0,46,DUI-Impaired to Slightest Degree,N Scottsdale Rd / E Thomas Rd,3,2,13,0,N Scottsdale Rd / E Thomas Rd -  xxx,"(29.0, 37.0]"
40.0,130,Drug Paraphernalia-Possess/Use,N Pima Rd,3,0,13,1,N Pima Rd - 7xxx,"(37.0, 50.0]"
45.0,343,Drug Paraphernalia-Possess/Use,N Scottsdale Rd,3,1,13,3,N Scottsdale Rd - 1xxx,"(37.0, 50.0]"
50.0,1716,Speed Greater Than R&P or Posted,N Pima Rd,3,5,11,17,N Pima Rd - 2xxx,"(37.0, 50.0]"
20.0,1612,Speed Greater Than R&P or Posted,N 100th St,3,1,12,16,N 100th St - 1xxx,"(17.999, 24.0]"
22.0,727,Speed Greater Than R&P or Posted,E Cactus Rd,3,3,12,7,E Cactus Rd - 6xxx,"(17.999, 24.0]"
26.0,1539,Expired/No Arizona Registration,E McDonald DR,3,0,12,15,E McDonald DR - 8xxx,"(24.0, 29.0]"
51.0,10,Speed Greater Than R&P or Posted,N Pima Rd,3,6,11,0,N Pima Rd - 2xxx,"(50.0, 97.0]"
20.0,2352,Fail to Obey Traffic Control Device,E Camelback Rd / N Scottsdale Rd,3,4,11,23,E Camelback Rd / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
57.0,1814,No Proof of Insurance,E Mountain View Rd,3,2,12,18,E Mountain View Rd - 7xxx,"(50.0, 97.0]"
60.0,1710,Expired/No Arizona Registration,E McDonald DR,3,1,12,17,E McDonald DR - 8xxx,"(50.0, 97.0]"
89.0,1423,Fail to Stop For Red Signal,N 64th St,3,1,13,14,N 64th St - 1xxx,"(50.0, 97.0]"
18.0,1456,Failure to Control Speed to Avoid A Collision,E Indian School Rd,3,2,13,14,E Indian School Rd - 8xxx,"(17.999, 24.0]"
20.0,2346,DUI-Impaired to Slightest Degree,E McDowell Rd / N Scottsdale Rd,3,2,13,23,E McDowell Rd / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
36.0,200,Drug Paraphernalia-Possess/Use,N Hayden Rd / E McDowell Rd,3,3,13,2,N Hayden Rd / E McDowell Rd -  xxx,"(29.0, 37.0]"
37.0,723,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,4,12,7,E Indian Bend Rd - 7xxx,"(29.0, 37.0]"
28.0,725,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,4,12,7,E Indian Bend Rd - 7xxx,"(24.0, 29.0]"
18.0,752,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,4,12,7,E Indian Bend Rd - 7xxx,"(17.999, 24.0]"
60.0,653,Speed Greater Than R&P or Posted,N Thompson Peak Py,3,3,10,6,N Thompson Peak Py - 1xxx,"(50.0, 97.0]"
29.0,2207,Speed Greater Than R&P or Posted,E Camelback Rd,3,4,12,22,E Camelback Rd - 7xxx,"(24.0, 29.0]"
43.0,820,Speed Greater Than R&P or Posted,N Scottsdale Rd,3,4,12,8,N Scottsdale Rd - 2xxx,"(37.0, 50.0]"
58.0,949,No Proof of Insurance,N Scottsdale Rd,3,4,12,9,N Scottsdale Rd - 3xxx,"(50.0, 97.0]"
57.0,1003,No Proof of Insurance,N Scottsdale Rd,3,4,12,10,N Scottsdale Rd - 3xxx,"(50.0, 97.0]"
51.0,945,Speed Greater Than R&P or Posted,N Scottsdale Rd,3,4,12,9,N Scottsdale Rd - 2xxx,"(50.0, 97.0]"
22.0,1042,Speed Greater Than R&P or Posted,N Hayden Rd / E Legacy Bl,3,4,12,10,N Hayden Rd / E Legacy Bl -  xxx,"(17.999, 24.0]"
23.0,1140,Speed Greater Than R&P or Posted,N Scottsdale Rd,3,4,12,11,N Scottsdale Rd - 2xxx,"(17.999, 24.0]"
45.0,802,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,4,12,8,E Indian Bend Rd - 7xxx,"(37.0, 50.0]"
19.0,738,Speed Greater Than R&P or Posted,E Oak St,3,4,12,7,E Oak St - 6xxx,"(17.999, 24.0]"
49.0,710,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,4,12,7,E Indian Bend Rd - 7xxx,"(37.0, 50.0]"
67.0,811,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,4,12,8,E Indian Bend Rd - 7xxx,"(50.0, 97.0]"
49.0,801,Speed Greater Than R&P or Posted,N Scottsdale Rd,3,4,12,8,N Scottsdale Rd - 2xxx,"(37.0, 50.0]"
23.0,813,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,4,12,8,E Indian Bend Rd - 7xxx,"(17.999, 24.0]"
42.0,858,Speed Greater Than R&P or Posted,E Indian Bend Rd,3,4,12,8,E Indian Bend Rd - 7xxx,"(37.0, 50.0]"
60.0,1122,Failure to Control Speed to Avoid A Collision,E Indian School Rd,3,3,13,11,E Indian School Rd - 7xxx,"(50.0, 97.0]"
23.0,1031,Failure to Control Speed to Avoid A Collision,E Cactus Rd,3,3,13,10,E Cactus Rd - 7xxx,"(17.999, 24.0]"
20.0,1338,Speed Greater Than R&P or Posted,E Indian School Rd,3,1,13,13,E Indian School Rd - 6xxx,"(17.999, 24.0]"
71.0,1242,Failure to Control Speed to Avoid A Collision,N Hayden Rd,3,3,13,12,N Hayden Rd - 8xxx,"(50.0, 97.0]"
34.0,1441,Failure to Control Speed to Avoid A Collision,N Pima Rd,3,3,13,14,N Pima Rd - 4xxx,"(29.0, 37.0]"
21.0,2206,Drug Paraphernalia-Possess/Use,N Northsight Bl,3,3,13,22,N Northsight Bl - 1xxx,"(17.999, 24.0]"
31.0,34,Drug Paraphernalia-Possess/Use,N Saddlebag Tr,3,4,13,0,N Saddlebag Tr - 4xxx,"(29.0, 37.0]"
66.0,1603,Speed Greater Than R&P or Posted,E Mountain View Rd,3,5,12,16,E Mountain View Rd - 1xxx,"(50.0, 97.0]"
42.0,1317,Speed Greater Than R&P or Posted,N Hayden Rd,3,5,12,13,N Hayden Rd - 6xxx,"(37.0, 50.0]"
49.0,1440,Fail to Stop For Red Signal,E Indian Bend Rd,3,5,12,14,E Indian Bend Rd - 8xxx,"(37.0, 50.0]"
74.0,1457,Fail to Obey Traffic Control Device,E Indian Bend Rd,3,5,12,14,E Indian Bend Rd - 8xxx,"(50.0, 97.0]"
21.0,633,Failure to Control Speed to Avoid A Collision,N Hayden Rd / E Indian School Rd,3,4,13,6,N Hayden Rd / E Indian School Rd -  xxx,"(17.999, 24.0]"
21.0,1137,No Proof of Insurance,N Scottsdale Rd,3,5,12,11,N Scottsdale Rd - 8xxx,"(17.999, 24.0]"
23.0,1400,Speed Greater Than R&P or Posted,N Pima Rd,3,3,12,14,N Pima Rd - 2xxx,"(17.999, 24.0]"
70.0,1830,Speed Greater Than R&P or Posted,N Scottsdale Rd,3,5,12,18,N Scottsdale Rd - 8xxx,"(50.0, 97.0]"
22.0,2329,Speed Greater Than R&P or Posted,E Indian School Rd,3,5,12,23,E Indian School Rd - 6xxx,"(17.999, 24.0]"
45.0,811,Speed Greater Than R&P or Posted,N Hayden Rd,3,4,12,8,N Hayden Rd - 9xxx,"(37.0, 50.0]"
52.0,1035,Suspended/Revoked D.L.,E Shea Bl,3,4,13,10,E Shea Bl - 6xxx,"(50.0, 97.0]"
34.0,959,Suspended/Revoked D.L.,N Hayden Rd / E McDowell Rd,3,4,13,9,N Hayden Rd / E McDowell Rd -  xxx,"(29.0, 37.0]"
62.0,1424,Speed Greater Than R&P or Posted,E Redfield Rd,3,5,12,14,E Redfield Rd - 7xxx,"(50.0, 97.0]"
28.0,1328,Speed Greater Than R&P or Posted,E Redfield Rd,3,5,12,13,E Redfield Rd - 7xxx,"(24.0, 29.0]"
41.0,1252,Speed Greater Than R&P or Posted,E Mountain View Rd,3,5,12,12,E Mountain View Rd - 8xxx,"(37.0, 50.0]"
39.0,1542,Speed Greater Than R&P or Posted,E Mountain View Rd,3,5,12,15,E Mountain View Rd - 1xxx,"(37.0, 50.0]"
39.0,1947,Failure to Control Speed to Avoid A Collision,N Scottsdale Rd / E Thomas Rd,10,0,44,19,N Scottsdale Rd / E Thomas Rd -  xxx,"(37.0, 50.0]"
